Mem: 1762240K used, 235776K free, 94976K shrd, 24768K buff, 682048K cached
CPU:  58% usr  20% sys   0% nic  16% idle   0% io   4% irq   0% sirq
Load average: 5.59 5.43 4.33 13/852 28604
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
  570     1 root     S    2118m 108%  12% ./mv_avm
 1035     1 root     S    1865m  95%  12% ./mv_perc --cfg /opt/data/motovis_app_A/motovis/conf/app_slot.cfg
  658     1 root     S    1232m  63%   8% ./TDA4_A72_Adapter.out
  960     1 root     S    1299m  66%   7% ./mv_fusion
  799     1 root     S    1667m  85%   6% ./mv_decision
  447   253 root     S    2207m 112%   4% /lib/firmware/TDA4_A72_demo_gac_a09.out
 1150  1134 root     S    1064m  54%   4% TDA4_A72_met_vehinfo.out
 1148  1134 root     S    20352   1%   3% perception
  883     1 root     S    1493m  76%   3% ./mv_plan
 1130     1 root     S    1219m  62%   3% ./mv_calib
 1132     1 root     S     838m  43%   3% ./TDA4_A72_gac_raeb_09.out
  454     1 root     S     408m  21%   3% ./fas_someipd
 1773     1 root     S     433m  22%   2% ./met_hmi_service
  743     1 root     S     822m  42%   2% ./A09_RaLog
 1147  1134 root     S     298m  15%   2% Fusion
28587 32664 root     R     3456   0%   1% top -b -d 1
    5     2 root     RW       0   0%   1% [kworker/0:0+eve]
 1151  1134 root     S    1709m  87%   1% TDA4_A72_met_adas.out
 1146  1134 root     R    18176   1%   1% VSE
   10     2 root     IW       0   0%   1% [rcu_preempt]
  117     2 root     IW       0   0%   1% [kworker/u4:2-ev]
16886     2 root     IW       0   0%   1% [kworker/u4:3-pv]
  563     1 root     S     198m  10%   0% ./iox-roudi -c ../conf/roudi_config.toml -m off -l debug
 1138  1134 root     S    83392   4%   0% RM 0
 1142  1134 root     S    45184   2%   0% calibration
 1134     1 root     S    27392   1%   0% ./met_ipc_master.out
 1143  1134 root     S    20608   1%   0% LSR
 1145  1134 root     S    19648   1%   0% ST
 1139  1134 root     S    19456   1%   0% GO
 1137  1134 root     S    19392   1%   0% met_adas_init.out
 1144  1134 root     S    18688   1%   0% COR
 1140  1134 root     S    17152   1%   0% TLR
 1141  1134 root     S    17152   1%   0% TSR
 1704  1692 root     S     5504   0%   0% /usr/libexec/sftp-server
  252   250 root     S     5056   0%   0% /bin/login -f
 4295 32664 root     T     3456   0%   0% top -b -d 1
11951 32664 root     T     3456   0%   0% top -b -d 1
  253   252 root     S     3456   0%   0% -sh
 2599 32664 root     T     3456   0%   0% top -b -d 1
  337     1 root     S     3456   0%   0% /usr/sbin/telnetd -l /bin/sh
32664   337 root     S     3456   0%   0% /bin/sh
 1692   443 root     S     3328   0%   0% /usr/sbin/dropbear -B
  242     1 root     S     3328   0%   0% /sbin/syslogd -n -O /var/log/messages
  245     1 root     S     3328   0%   0% /sbin/klogd -n
  250     1 root     S     3328   0%   0% {autologin.sh} /bin/sh /sbin/autologin.sh --
  251     1 root     S     3328   0%   0% /sbin/getty 38400 tty1
  443     1 root     S     3200   0%   0% /usr/sbin/dropbear -B
    1     0 root     S     2368   0%   0% init [5]
    9     2 root     SW       0   0%   0% [ksoftirqd/0]
14406     2 root     IW       0   0%   0% [kworker/u4:6-pv]
   65     2 root     IW       0   0%   0% [kworker/u4:1-pv]
 6234     2 root     IW       0   0%   0% [kworker/u4:5-ev]
  112     2 root     IW       0   0%   0% [kworker/1:3-eve]
 3198     2 root     IW       0   0%   0% [kworker/u4:4-pv]
  104     2 root     IW       0   0%   0% [kworker/1:2-pm]
  422     2 root     SW       0   0%   0% [jbd2/mmcblk0p22]
17098     2 root     IW<      0   0%   0% [kworker/1:0H-kb]
  379     2 root     SW       0   0%   0% [jbd2/mmcblk0p11]
   98     2 root     SW       0   0%   0% [kswapd0]
   15     2 root     SW       0   0%   0% [ksoftirqd/1]
 9747     2 root     IW<      0   0%   0% [kworker/0:0H-kb]
  264     2 root     SW<      0   0%   0% [pvr_cacheop]
  419     2 root     SW       0   0%   0% [jbd2/mmcblk0p21]
  449   253 root     Z        0   0%   0% [sh]
    2     0 root     SW       0   0%   0% [kthreadd]
    3     2 root     IW<      0   0%   0% [rcu_gp]
    4     2 root     IW<      0   0%   0% [rcu_par_gp]
    8     2 root     IW<      0   0%   0% [mm_percpu_wq]
   11     2 root     SW       0   0%   0% [migration/0]
   12     2 root     SW       0   0%   0% [cpuhp/0]
   13     2 root     SW       0   0%   0% [cpuhp/1]
   14     2 root     SW       0   0%   0% [migration/1]
   18     2 root     SW       0   0%   0% [kdevtmpfs]
   19     2 root     IW<      0   0%   0% [netns]
   20     2 root     SW       0   0%   0% [rcu_tasks_kthre]
   22     2 root     SW       0   0%   0% [oom_reaper]
   23     2 root     IW<      0   0%   0% [writeback]
   24     2 root     SW       0   0%   0% [kcompactd0]
   26     2 root     SWN      0   0%   0% [ksmd]
   27     2 root     SWN      0   0%   0% [khugepaged]
   36     2 root     IW<      0   0%   0% [cryptd]
   58     2 root     IW<      0   0%   0% [kintegrityd]
   59     2 root     IW<      0   0%   0% [kblockd]
   60     2 root     IW<      0   0%   0% [blkcg_punt_bio]
   61     2 root     IW<      0   0%   0% [tpm_dev_wq]
   62     2 root     IW<      0   0%   0% [edac-poller]
   63     2 root     IW<      0   0%   0% [devfreq_wq]
   64     2 root     SW       0   0%   0% [watchdogd]
   66     2 root     IW<      0   0%   0% [rpciod]
   67     2 root     IW<      0   0%   0% [kworker/u5:0]
   68     2 root     IW<      0   0%   0% [xprtiod]
   99     2 root     IW<      0   0%   0% [nfsiod]
  101     2 root     IW<      0   0%   0% [kpcitest]
  102     2 root     IW<      0   0%   0% [kpcintb]
  103     2 root     IW<      0   0%   0% [vfio-irqfd-clea]
  105     2 root     SW       0   0%   0% [irq/9-arm-smmu-]
  106     2 root     SW       0   0%   0% [scsi_eh_0]
  107     2 root     IW<      0   0%   0% [scsi_tmf_0]
  108     2 root     SW       0   0%   0% [ptp0]
  109     2 root     SW       0   0%   0% [irq/191-310d000]
  110     2 root     IW<      0   0%   0% [sdhci]
  111     2 root     SW       0   0%   0% [irq/15-mmc0]
  113     2 root     IW<      0   0%   0% [sdhci]
  114     2 root     SW       0   0%   0% [irq/16-mmc1]
  115     2 root     IW<      0   0%   0% [mmc_complete]
  118     2 root     IW       0   0%   0% [kworker/0:2-pm]
  121     2 root     SW       0   0%   0% [jbd2/mmcblk0p5-]
  122     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  261     2 root     IW<      0   0%   0% [pvr_timer]
  262     2 root     SWN      0   0%   0% [pvr_defer_free]
  263     2 root     SW       0   0%   0% [pvr_device_wdg]
  265     2 root     IW<      0   0%   0% [pvr_fce_status]
  272     2 root     SW       0   0%   0% [irq/575-6000000]
  349     2 root     IW<      0   0%   0% [ipv6_addrconf]
  350     2 root     SW       0   0%   0% [jbd2/mmcblk0p7-]
  351     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  366     2 root     SW       0   0%   0% [jbd2/mmcblk0p8-]
  367     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  369     2 root     SW       0   0%   0% [jbd2/mmcblk0p9-]
  370     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  376     2 root     SW       0   0%   0% [jbd2/mmcblk0p10]
  377     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  380     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  382     2 root     SW       0   0%   0% [jbd2/mmcblk0p12]
  383     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  385     2 root     SW       0   0%   0% [jbd2/mmcblk0p13]
  386     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  394     2 root     SW       0   0%   0% [jbd2/mmcblk0p14]
  395     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  397     2 root     SW       0   0%   0% [jbd2/mmcblk0p15]
  398     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  400     2 root     SW       0   0%   0% [jbd2/mmcblk0p16]
  401     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  403     2 root     SW       0   0%   0% [jbd2/mmcblk0p17]
  404     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  406     2 root     SW       0   0%   0% [jbd2/mmcblk0p18]
  407     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  409     2 root     SW       0   0%   0% [jbd2/mmcblk0p19]
  410     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  416     2 root     SW       0   0%   0% [jbd2/mmcblk0p20]
  417     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  420     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  423     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  425     2 root     SW       0   0%   0% [jbd2/mmcblk0p23]
  426     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  428     2 root     SW       0   0%   0% [jbd2/mmcblk0p26]
  429     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  435     2 root     SW       0   0%   0% [jbd2/mmcblk0p27]
  436     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  438     2 root     SW       0   0%   0% [jbd2/mmcblk0p28]
  439     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  441     2 root     SW       0   0%   0% [jbd2/mmcblk0p29]
  442     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  444     2 root     SW       0   0%   0% [jbd2/mmcblk0p30]
  445     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  639     2 root     IW<      0   0%   0% [pvr_misr]
  640     2 root     IW<      0   0%   0% [pvr_misr]
14871     2 root     IW<      0   0%   0% [kworker/0:2H]
15319     2 root     IW<      0   0%   0% [kworker/1:2H]
21356     2 root     IW<      0   0%   0% [kworker/1:1H-kb]
31779     2 root     IW<      0   0%   0% [kworker/0:1H-kb]
Mem: 1805440K used, 192576K free, 94976K shrd, 25408K buff, 731776K cached
CPU:  52% usr  20% sys   0% nic  19% idle   0% io   5% irq   0% sirq
Load average: 6.13 5.63 4.47 13/851 4633
  PID  PPID USER     STAT   VSZ %VSZ %CPU COMMAND
 1035     1 root     S    1865m  95%  12% ./mv_perc --cfg /opt/data/motovis_app_A/motovis/conf/app_slot.cfg
  570     1 root     S    2118m 108%  11% ./mv_avm
  960     1 root     S    1299m  66%   7% ./mv_fusion
  799     1 root     S    1667m  85%   6% ./mv_decision
  658     1 root     S    1232m  63%   6% ./TDA4_A72_Adapter.out
 1150  1134 root     S    1064m  54%   4% TDA4_A72_met_vehinfo.out
  447   253 root     S    2207m 112%   3% /lib/firmware/TDA4_A72_demo_gac_a09.out
  454     1 root     S     408m  21%   3% ./fas_someipd
 1148  1134 root     S    20352   1%   3% perception
  883     1 root     S    1493m  76%   2% ./mv_plan
 1130     1 root     S    1219m  62%   2% ./mv_calib
 1132     1 root     S     838m  43%   2% ./TDA4_A72_gac_raeb_09.out
 1147  1134 root     S     298m  15%   2% Fusion
  743     1 root     S     822m  42%   1% ./A09_RaLog
 1773     1 root     R     433m  22%   1% ./met_hmi_service
 1151  1134 root     S    1709m  87%   1% TDA4_A72_met_adas.out
    5     2 root     IW       0   0%   1% [kworker/0:0-eve]
  563     1 root     S     198m  10%   0% ./iox-roudi -c ../conf/roudi_config.toml -m off -l debug
 1146  1134 root     S    18176   1%   0% VSE
 1138  1134 root     S    83392   4%   0% RM 0
 1142  1134 root     S    45184   2%   0% calibration
 1134     1 root     S    27392   1%   0% ./met_ipc_master.out
 1143  1134 root     S    20608   1%   0% LSR
 1145  1134 root     S    19648   1%   0% ST
 1139  1134 root     S    19456   1%   0% GO
 1137  1134 root     S    19392   1%   0% met_adas_init.out
 1144  1134 root     S    18688   1%   0% COR
 1140  1134 root     S    17152   1%   0% TLR
 1141  1134 root     S    17152   1%   0% TSR
 1704  1692 root     S     5504   0%   0% /usr/libexec/sftp-server
  252   250 root     S     5056   0%   0% /bin/login -f
 4295 32664 root     T     3456   0%   0% top -b -d 1
28587 32664 root     R     3456   0%   0% top -b -d 1
11951 32664 root     T     3456   0%   0% top -b -d 1
  253   252 root     S     3456   0%   0% -sh
 2599 32664 root     T     3456   0%   0% top -b -d 1
  337     1 root     S     3456   0%   0% /usr/sbin/telnetd -l /bin/sh
32664   337 root     S     3456   0%   0% /bin/sh
 1692   443 root     S     3328   0%   0% /usr/sbin/dropbear -B
  242     1 root     S     3328   0%   0% /sbin/syslogd -n -O /var/log/messages
  245     1 root     S     3328   0%   0% /sbin/klogd -n
  250     1 root     S     3328   0%   0% {autologin.sh} /bin/sh /sbin/autologin.sh --
  251     1 root     S     3328   0%   0% /sbin/getty 38400 tty1
  443     1 root     S     3200   0%   0% /usr/sbin/dropbear -B
    1     0 root     S     2368   0%   0% init [5]
    9     2 root     SW       0   0%   0% [ksoftirqd/0]
   10     2 root     IW       0   0%   0% [rcu_preempt]
  117     2 root     IW       0   0%   0% [kworker/u4:2-pv]
14406     2 root     IW       0   0%   0% [kworker/u4:6-pv]
   65     2 root     IW       0   0%   0% [kworker/u4:1-pv]
 6234     2 root     IW       0   0%   0% [kworker/u4:5-ev]
  112     2 root     IW       0   0%   0% [kworker/1:3-eve]
 3198     2 root     IW       0   0%   0% [kworker/u4:4-ev]
16886     2 root     IW       0   0%   0% [kworker/u4:3-ev]
  104     2 root     IW       0   0%   0% [kworker/1:2-pm]
  422     2 root     SW       0   0%   0% [jbd2/mmcblk0p22]
17098     2 root     IW<      0   0%   0% [kworker/1:0H-kb]
  379     2 root     SW       0   0%   0% [jbd2/mmcblk0p11]
   98     2 root     SW       0   0%   0% [kswapd0]
   15     2 root     SW       0   0%   0% [ksoftirqd/1]
 9747     2 root     IW<      0   0%   0% [kworker/0:0H-kb]
  264     2 root     SW<      0   0%   0% [pvr_cacheop]
  419     2 root     SW       0   0%   0% [jbd2/mmcblk0p21]
  449   253 root     Z        0   0%   0% [sh]
    2     0 root     SW       0   0%   0% [kthreadd]
    3     2 root     IW<      0   0%   0% [rcu_gp]
    4     2 root     IW<      0   0%   0% [rcu_par_gp]
    8     2 root     IW<      0   0%   0% [mm_percpu_wq]
   11     2 root     SW       0   0%   0% [migration/0]
   12     2 root     SW       0   0%   0% [cpuhp/0]
   13     2 root     SW       0   0%   0% [cpuhp/1]
   14     2 root     SW       0   0%   0% [migration/1]
   18     2 root     SW       0   0%   0% [kdevtmpfs]
   19     2 root     IW<      0   0%   0% [netns]
   20     2 root     SW       0   0%   0% [rcu_tasks_kthre]
   22     2 root     SW       0   0%   0% [oom_reaper]
   23     2 root     IW<      0   0%   0% [writeback]
   24     2 root     SW       0   0%   0% [kcompactd0]
   26     2 root     SWN      0   0%   0% [ksmd]
   27     2 root     SWN      0   0%   0% [khugepaged]
   36     2 root     IW<      0   0%   0% [cryptd]
   58     2 root     IW<      0   0%   0% [kintegrityd]
   59     2 root     IW<      0   0%   0% [kblockd]
   60     2 root     IW<      0   0%   0% [blkcg_punt_bio]
   61     2 root     IW<      0   0%   0% [tpm_dev_wq]
   62     2 root     IW<      0   0%   0% [edac-poller]
   63     2 root     IW<      0   0%   0% [devfreq_wq]
   64     2 root     SW       0   0%   0% [watchdogd]
   66     2 root     IW<      0   0%   0% [rpciod]
   67     2 root     IW<      0   0%   0% [kworker/u5:0]
   68     2 root     IW<      0   0%   0% [xprtiod]
   99     2 root     IW<      0   0%   0% [nfsiod]
  101     2 root     IW<      0   0%   0% [kpcitest]
  102     2 root     IW<      0   0%   0% [kpcintb]
  103     2 root     IW<      0   0%   0% [vfio-irqfd-clea]
  105     2 root     SW       0   0%   0% [irq/9-arm-smmu-]
  106     2 root     SW       0   0%   0% [scsi_eh_0]
  107     2 root     IW<      0   0%   0% [scsi_tmf_0]
  108     2 root     SW       0   0%   0% [ptp0]
  109     2 root     SW       0   0%   0% [irq/191-310d000]
  110     2 root     IW<      0   0%   0% [sdhci]
  111     2 root     SW       0   0%   0% [irq/15-mmc0]
  113     2 root     IW<      0   0%   0% [sdhci]
  114     2 root     SW       0   0%   0% [irq/16-mmc1]
  115     2 root     IW<      0   0%   0% [mmc_complete]
  118     2 root     IW       0   0%   0% [kworker/0:2-pm]
  121     2 root     SW       0   0%   0% [jbd2/mmcblk0p5-]
  122     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  261     2 root     IW<      0   0%   0% [pvr_timer]
  262     2 root     SWN      0   0%   0% [pvr_defer_free]
  263     2 root     SW       0   0%   0% [pvr_device_wdg]
  265     2 root     IW<      0   0%   0% [pvr_fce_status]
  272     2 root     SW       0   0%   0% [irq/575-6000000]
  349     2 root     IW<      0   0%   0% [ipv6_addrconf]
  350     2 root     SW       0   0%   0% [jbd2/mmcblk0p7-]
  351     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  366     2 root     SW       0   0%   0% [jbd2/mmcblk0p8-]
  367     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  369     2 root     SW       0   0%   0% [jbd2/mmcblk0p9-]
  370     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  376     2 root     SW       0   0%   0% [jbd2/mmcblk0p10]
  377     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  380     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  382     2 root     SW       0   0%   0% [jbd2/mmcblk0p12]
  383     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  385     2 root     SW       0   0%   0% [jbd2/mmcblk0p13]
  386     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  394     2 root     SW       0   0%   0% [jbd2/mmcblk0p14]
  395     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  397     2 root     SW       0   0%   0% [jbd2/mmcblk0p15]
  398     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  400     2 root     SW       0   0%   0% [jbd2/mmcblk0p16]
  401     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  403     2 root     SW       0   0%   0% [jbd2/mmcblk0p17]
  404     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  406     2 root     SW       0   0%   0% [jbd2/mmcblk0p18]
  407     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  409     2 root     SW       0   0%   0% [jbd2/mmcblk0p19]
  410     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  416     2 root     SW       0   0%   0% [jbd2/mmcblk0p20]
  417     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  420     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  423     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  425     2 root     SW       0   0%   0% [jbd2/mmcblk0p23]
  426     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  428     2 root     SW       0   0%   0% [jbd2/mmcblk0p26]
  429     2 root     IW<      0   0%   0% [ext4-rsv-conver]
  435     2 root     SW       0   0%   0% [jbd2/mmcblk0p27]
