Mem: 500732K used, 8980K free, 181456K shrd, 0K buff, 339276K cached
CPU:  2.2% usr  2.2% sys  0.0% nic 95.5% idle  0.0% io  0.0% irq  0.0% sirq
   63     2 root     IW<      0  0.0   1  0.0 [stmmac_wq]
   67     2 root     SW       0  0.0   2  0.0 [irq/59-4800000.]
   69     2 root     SW       0  0.0   0  0.0 [irq/48-axera_th]
   70     2 root     SW       0  0.0   0  0.0 [irq/39-mmc0]
   71     2 root     SW       0  0.0   3  0.0 [irq/70-4950000.]
   72     2 root     IW<      0  0.0   3  0.0 [ax_cipher_wq]
   88     2 root     IW<      0  0.0   2  0.0 [ipv6_addrconf]
  242     2 root     SW       0  0.0   0  0.0 [irq/61-10040000]
  250     2 root     SW       0  0.0   0  0.0 [irq/56-4410000.]
  255     2 root     SW       0  0.0   0  0.0 [irq/57-2620000.]
  310     2 root     IW<      0  0.0   2  0.0 [uas]
  331     2 root     SW       0  0.0   3  0.0 [ubifs_bgt2_0]
  338     2 root     SW       0  0.0   1  0.0 [ubifs_bgt3_0]
 1017     2 root     IW       0  0.0   3  0.0 [kworker/3:0-eve]
 1052     2 root     IW       0  0.0   3  0.0 [kworker/3:1-eve]
 1056   275 root     Z        0  0.0   0  0.0 [ntpd]
Mem: 503976K used, 5736K free, 181456K shrd, 0K buff, 339864K cached
CPU:  1.4% usr  0.2% sys  0.0% nic 98.0% idle  0.0% io  0.0% irq  0.2% sirq
Load average: 2.76 2.46 2.28 1/142 1057
  PID  PPID USER     STAT   VSZ %VSZ CPU %CPU COMMAND
  765     1 root     S     277m 55.7   1  0.7 {FusionMain} ./mv_svfusion
  763     1 root     S     211m 42.4   2  0.7 {DecisionMain} ./mv_decision
  769     1 root     S     263m 52.9   0  0.2 {PlanMain} ./mv_plan
 1037   749 root     R     1752  0.3   3  0.2 top -b -d 1
  350     1 root     S     224m 45.0   0  0.0 /mnt/mvapp/bin/iox-roudi -m off -l debug -c /mnt/mvapp/conf/iceoryx/large_config.toml
 1038   745 root     S     204m 41.0   2  0.0 ./rec -p ../data/bag
  372   287 root     S     5932  1.1   0  0.0 sshd: root@notty
  743   287 root     S     5632  1.1   1  0.0 sshd: root@pts/2
  747   287 root     S     5632  1.1   0  0.0 sshd: root@pts/3
 1047   287 root     S     5632  1.1   1  0.0 sshd: root@pts/4
  731   287 root     S     5632  1.1   3  0.0 sshd: root@notty
  734   287 root     S     5632  1.1   1  0.0 sshd: root@notty
  287     1 root     S     5632  1.1   2  0.0 sshd: /usr/sbin/sshd [listener] 0 of 10-100 startups
  374   372 root     S     5172  1.0   0  0.0 /usr/bin/sftp-server
  733   731 root     S     4992  0.9   3  0.0 /usr/bin/sftp-server
  736   734 root     S     4992  0.9   2  0.0 /usr/bin/sftp-server
  279     1 root     S     4008  0.7   2  0.0 /usr/sbin/telnetd -F
    1     0 root     S     1752  0.3   0  0.0 {linuxrc} init
  258     1 root     S     1752  0.3   1  0.0 ifplugd -i eth0 -n -s -f -I -q -p -d0
  275     1 root     S     1752  0.3   2  0.0 crond
 1051  1049 root     S     1752  0.3   3  0.0 top
  213     1 root     S     1752  0.3   2  0.0 /sbin/syslogd -n -s 5120 -b 99 -S
  394   279 root     S     1752  0.3   1  0.0 -sh
  749   747 root     S     1752  0.3   1  0.0 -sh
  745   743 root     S     1752  0.3   2  0.0 -sh
  217     1 root     S     1752  0.3   2  0.0 /sbin/klogd -n
  208     1 root     S     1752  0.3   0  0.0 -/bin/sh
 1049  1047 root     S     1752  0.3   2  0.0 -sh
  225     1 root     S      812  0.1   2  0.0 /sbin/axklogd -n
   61     2 root     SW       0  0.0   2  0.0 [spi4]
   89     2 root     SW       0  0.0   3  0.0 [ubi_bgt0d]
  982     2 root     IW       0  0.0   3  0.0 [kworker/u8:0-ev]
 1001     2 root     IW       0  0.0   1  0.0 [kworker/u8:1-ev]
   32     2 root     IW       0  0.0   0  0.0 [kworker/0:1-eve]
  920     2 root     IW       0  0.0   3  0.0 [kworker/3:2-eve]
   10     2 root     IW       0  0.0   2  0.0 [rcu_preempt]
  108     2 root     IW       0  0.0   2  0.0 [kworker/2:1-mm_]
  113     2 root     IW       0  0.0   1  0.0 [kworker/1:1-mm_]
 1055     2 root     IW       0  0.0   2  0.0 [kworker/u8:3-ev]
  322     2 root     SW       0  0.0   1  0.0 [ubi_bgt1d]
  345     2 root     SW       0  0.0   3  0.0 [ubifs_bgt4_0]
  118     2 root     DW       0  0.0   0  0.0 [npu_utilization]
    9     2 root     SW       0  0.0   0  0.0 [ksoftirqd/0]
  342     2 root     SW       0  0.0   3  0.0 [ubi_bgt4d]
  248     2 root     SW       0  0.0   0  0.0 [draw-worker]
   68     2 root     DW       0  0.0   2  0.0 [kthread-thm]
 1022     2 root     IW       0  0.0   2  0.0 [kworker/u8:2-ev]
   90     2 root     SW       0  0.0   3  0.0 [ubifs_bgt0_0]
  335     2 root     SW       0  0.0   3  0.0 [ubi_bgt3d]
  328     2 root     SW       0  0.0   2  0.0 [ubi_bgt2d]
    2     0 root     SW       0  0.0   1  0.0 [kthreadd]
   17     2 root     SW       0  0.0   1  0.0 [ksoftirqd/1]
   27     2 root     SW       0  0.0   3  0.0 [ksoftirqd/3]
   30     2 root     SW       0  0.0   1  0.0 [kdevtmpfs]
   33     2 root     SW       0  0.0   1  0.0 [khungtaskd]
    3     2 root     IW<      0  0.0   0  0.0 [rcu_gp]
    4     2 root     IW<      0  0.0   0  0.0 [rcu_par_gp]
    5     2 root     IW       0  0.0   0  0.0 [kworker/0:0-rcu]
    6     2 root     IW<      0  0.0   0  0.0 [kworker/0:0H-kb]
    8     2 root     IW<      0  0.0   0  0.0 [mm_percpu_wq]
   11     2 root     IW       0  0.0   2  0.0 [rcu_sched]
   12     2 root     IW       0  0.0   0  0.0 [rcu_bh]
   13     2 root     SW       0  0.0   0  0.0 [migration/0]
   14     2 root     SW       0  0.0   0  0.0 [cpuhp/0]
   15     2 root     SW       0  0.0   1  0.0 [cpuhp/1]
   16     2 root     SW       0  0.0   1  0.0 [migration/1]
   18     2 root     IW       0  0.0   1  0.0 [kworker/1:0-eve]
   19     2 root     IW<      0  0.0   1  0.0 [kworker/1:0H]
   20     2 root     SW       0  0.0   2  0.0 [cpuhp/2]
   21     2 root     SW       0  0.0   2  0.0 [migration/2]
   22     2 root     SW       0  0.0   2  0.0 [ksoftirqd/2]
   23     2 root     IW       0  0.0   2  0.0 [kworker/2:0-eve]
   24     2 root     IW<      0  0.0   2  0.0 [kworker/2:0H]
   25     2 root     SW       0  0.0   3  0.0 [cpuhp/3]
   26     2 root     SW       0  0.0   3  0.0 [migration/3]
   29     2 root     IW<      0  0.0   3  0.0 [kworker/3:0H]
   31     2 root     SW       0  0.0   1  0.0 [rcu_tasks_kthre]
   34     2 root     SW       0  0.0   1  0.0 [oom_reaper]
   35     2 root     IW<      0  0.0   1  0.0 [writeback]
   36     2 root     SW       0  0.0   2  0.0 [kcompactd0]
   37     2 root     IW<      0  0.0   2  0.0 [crypto]
   38     2 root     IW<      0  0.0   3  0.0 [kblockd]
   39     2 root     SW       0  0.0   1  0.0 [watchdogd]
   40     2 root     IW<      0  0.0   1  0.0 [rpciod]
   41     2 root     IW<      0  0.0   2  0.0 [kworker/u9:0]
   42     2 root     IW<      0  0.0   3  0.0 [xprtiod]
   43     2 root     SW       0  0.0   1  0.0 [kswapd0]
   44     2 root     IW<      0  0.0   1  0.0 [nfsiod]
   59     2 root     IW<      0  0.0   0  0.0 [kworker/0:1H-kb]
   60     2 root     SW       0  0.0   3  0.0 [spi1]
   62     2 root     SW       0  0.0   2  0.0 [spi3]
   63     2 root     IW<      0  0.0   1  0.0 [stmmac_wq]
   67     2 root     SW       0  0.0   2  0.0 [irq/59-4800000.]
   69     2 root     SW       0  0.0   0  0.0 [irq/48-axera_th]
   70     2 root     SW       0  0.0   0  0.0 [irq/39-mmc0]
   71     2 root     SW       0  0.0   3  0.0 [irq/70-4950000.]
   72     2 root     IW<      0  0.0   3  0.0 [ax_cipher_wq]
   88     2 root     IW<      0  0.0   2  0.0 [ipv6_addrconf]
  242     2 root     SW       0  0.0   0  0.0 [irq/61-10040000]
  250     2 root     SW       0  0.0   0  0.0 [irq/56-4410000.]
  255     2 root     SW       0  0.0   0  0.0 [irq/57-2620000.]
  310     2 root     IW<      0  0.0   2  0.0 [uas]
  331     2 root     SW       0  0.0   3  0.0 [ubifs_bgt2_0]
  338     2 root     SW       0  0.0   1  0.0 [ubifs_bgt3_0]
 1017     2 root     IW       0  0.0   3  0.0 [kworker/3:0-eve]
 1052     2 root     IW       0  0.0   3  0.0 [kworker/3:1-eve]
 1056   275 root     Z        0  0.0   0  0.0 [ntpd]
Mem: 504072K used, 5640K free, 181456K shrd, 0K buff, 339868K cached
CPU:  1.2% usr  0.4% sys  0.0% nic 98.2% idle  0.0% io  0.0% irq  0.0% sirq
Load average: 2.70 2.46 2.28 1/141 1057
  PID  PPID USER     STAT   VSZ %VSZ CPU %CPU COMMAND
  765     1 root     S     277m 55.7   1  0.7 {FusionMain} ./mv_svfusion
  763     1 root     S     211m 42.4   2  0.5 {DecisionMain} ./mv_decision
  769     1 root     S     263m 52.9   0  0.1 {PlanMain} ./mv_plan
 1037   749 root     R     1752  0.3   3  0.1 top -b -d 1
  350     1 root     S     224m 45.0   0  0.0 /mnt/mvapp/bin/iox-roudi -m off -l debug -c /mnt/mvapp/conf/iceoryx/large_config.toml
 1038   745 root     S     204m 41.0   2  0.0 ./rec -p ../data/bag
  372   287 root     S     5932  1.1   0  0.0 sshd: root@notty
  743   287 root     S     5632  1.1   1  0.0 sshd: root@pts/2
  747   287 root     S     5632  1.1   0  0.0 sshd: root@pts/3
 1047   287 root     S     5632  1.1   1  0.0 sshd: root@pts/4
  731   287 root     S     5632  1.1   3  0.0 sshd: root@notty
  734   287 root     S     5632  1.1   1  0.0 sshd: root@notty
  287     1 root     S     5632  1.1   2  0.0 sshd: /usr/sbin/sshd [listener] 0 of 10-100 startups
  374   372 root     S     5172  1.0   0  0.0 /usr/bin/sftp-server
  733   731 root     S     4992  0.9   3  0.0 /usr/bin/sftp-server
  736   734 root     S     4992  0.9   2  0.0 /usr/bin/sftp-server
  279     1 root     S     4008  0.7   2  0.0 /usr/sbin/telnetd -F
    1     0 root     S     1752  0.3   0  0.0 {linuxrc} init
  258     1 root     S     1752  0.3   1  0.0 ifplugd -i eth0 -n -s -f -I -q -p -d0
  275     1 root     S     1752  0.3   2  0.0 crond
 1051  1049 root     S     1752  0.3   3  0.0 top
  213     1 root     S     1752  0.3   2  0.0 /sbin/syslogd -n -s 5120 -b 99 -S
  394   279 root     S     1752  0.3   1  0.0 -sh
  749   747 root     S     1752  0.3   1  0.0 -sh
  745   743 root     S     1752  0.3   2  0.0 -sh
  217     1 root     S     1752  0.3   2  0.0 /sbin/klogd -n
  208     1 root     S     1752  0.3   0  0.0 -/bin/sh
 1049  1047 root     S     1752  0.3   2  0.0 -sh
  225     1 root     S      812  0.1   2  0.0 /sbin/axklogd -n
   61     2 root     SW       0  0.0   2  0.0 [spi4]
   89     2 root     SW       0  0.0   3  0.0 [ubi_bgt0d]
  982     2 root     IW       0  0.0   3  0.0 [kworker/u8:0-ev]
 1001     2 root     IW       0  0.0   1  0.0 [kworker/u8:1-ev]
   32     2 root     IW       0  0.0   0  0.0 [kworker/0:1-eve]
  920     2 root     IW       0  0.0   3  0.0 [kworker/3:2-eve]
   10     2 root     IW       0  0.0   2  0.0 [rcu_preempt]
  108     2 root     IW       0  0.0   2  0.0 [kworker/2:1-mm_]
  113     2 root     IW       0  0.0   1  0.0 [kworker/1:1-mm_]
 1055     2 root     IW       0  0.0   2  0.0 [kworker/u8:3-ev]
  322     2 root     SW       0  0.0   1  0.0 [ubi_bgt1d]
  345     2 root     SW       0  0.0   3  0.0 [ubifs_bgt4_0]
  118     2 root     DW       0  0.0   0  0.0 [npu_utilization]
    9     2 root     SW       0  0.0   0  0.0 [ksoftirqd/0]
  342     2 root     SW       0  0.0   3  0.0 [ubi_bgt4d]
  248     2 root     SW       0  0.0   0  0.0 [draw-worker]
   68     2 root     DW       0  0.0   2  0.0 [kthread-thm]
 1022     2 root     IW       0  0.0   2  0.0 [kworker/u8:2-ev]
   90     2 root     SW       0  0.0   3  0.0 [ubifs_bgt0_0]
  335     2 root     SW       0  0.0   3  0.0 [ubi_bgt3d]
  328     2 root     SW       0  0.0   2  0.0 [ubi_bgt2d]
    2     0 root     SW       0  0.0   1  0.0 [kthreadd]
   17     2 root     SW       0  0.0   1  0.0 [ksoftirqd/1]
   27     2 root     SW       0  0.0   3  0.0 [ksoftirqd/3]
   30     2 root     SW       0  0.0   1  0.0 [kdevtmpfs]
   33     2 root     SW       0  0.0   1  0.0 [khungtaskd]
    3     2 root     IW<      0  0.0   0  0.0 [rcu_gp]
    4     2 root     IW<      0  0.0   0  0.0 [rcu_par_gp]
    5     2 root     IW       0  0.0   0  0.0 [kworker/0:0-rcu]
    6     2 root     IW<      0  0.0   0  0.0 [kworker/0:0H-kb]
    8     2 root     IW<      0  0.0   0  0.0 [mm_percpu_wq]
   11     2 root     IW       0  0.0   2  0.0 [rcu_sched]
   12     2 root     IW       0  0.0   0  0.0 [rcu_bh]
   13     2 root     SW       0  0.0   0  0.0 [migration/0]
   14     2 root     SW       0  0.0   0  0.0 [cpuhp/0]
   15     2 root     SW       0  0.0   1  0.0 [cpuhp/1]
   16     2 root     SW       0  0.0   1  0.0 [migration/1]
   18     2 root     IW       0  0.0   1  0.0 [kworker/1:0-eve]
   19     2 root     IW<      0  0.0   1  0.0 [kworker/1:0H]
   20     2 root     SW       0  0.0   2  0.0 [cpuhp/2]
   21     2 root     SW       0  0.0   2  0.0 [migration/2]
   22     2 root     SW       0  0.0   2  0.0 [ksoftirqd/2]
   23     2 root     IW       0  0.0   2  0.0 [kworker/2:0-eve]
   24     2 root     IW<      0  0.0   2  0.0 [kworker/2:0H]
   25     2 root     SW       0  0.0   3  0.0 [cpuhp/3]
   26     2 root     SW       0  0.0   3  0.0 [migration/3]
   29     2 root     IW<      0  0.0   3  0.0 [kworker/3:0H]
   31     2 root     SW       0  0.0   1  0.0 [rcu_tasks_kthre]
   34     2 root     SW       0  0.0   1  0.0 [oom_reaper]
   35     2 root     IW<      0  0.0   1  0.0 [writeback]
   36     2 root     SW       0  0.0   2  0.0 [kcompactd0]
   37     2 root     IW<      0  0.0   2  0.0 [crypto]
   38     2 root     IW<      0  0.0   3  0.0 [kblockd]
   39     2 root     SW       0  0.0   1  0.0 [watchdogd]
   40     2 root     IW<      0  0.0   1  0.0 [rpciod]
   41     2 root     IW<      0  0.0   2  0.0 [kworker/u9:0]
   42     2 root     IW<      0  0.0   3  0.0 [xprtiod]
   43     2 root     SW       0  0.0   1  0.0 [kswapd0]
   44     2 root     IW<      0  0.0   1  0.0 [nfsiod]
   59     2 root     IW<      0  0.0   0  0.0 [kworker/0:1H-kb]
   60     2 root     SW       0  0.0   3  0.0 [spi1]
   62     2 root     SW       0  0.0   2  0.0 [spi3]
   63     2 root     IW<      0  0.0   1  0.0 [stmmac_wq]
   67     2 root     SW       0  0.0   2  0.0 [irq/59-4800000.]
   69     2 root     SW       0  0.0   0  0.0 [irq/48-axera_th]
   70     2 root     SW       0  0.0   0  0.0 [irq/39-mmc0]
   71     2 root     SW       0  0.0   3  0.0 [irq/70-4950000.]
   72     2 root     IW<      0  0.0   3  0.0 [ax_cipher_wq]
   88     2 root     IW<      0  0.0   2  0.0 [ipv6_addrconf]
  242     2 root     SW       0  0.0   0  0.0 [irq/61-10040000]
  250     2 root     SW       0  0.0   0  0.0 [irq/56-4410000.]
  255     2 root     SW       0  0.0   0  0.0 [irq/57-2620000.]
  310     2 root     IW<      0  0.0   2  0.0 [uas]
  331     2 root     SW       0  0.0   3  0.0 [ubifs_bgt2_0]
  338     2 root     SW       0  0.0   1  0.0 [ubifs_bgt3_0]
 1017     2 root     IW       0  0.0   3  0.0 [kworker/3:0-eve]
 1052     2 root     IW       0  0.0   3  0.0 [kworker/3:1-eve]
Mem: 503968K used, 5744K free, 181456K shrd, 0K buff, 339876K cached
CPU:  1.2% usr  0.4% sys  0.0% nic 98.2% idle  0.0% io  0.0% irq  0.0% sirq
Load average: 2.70 2.46 2.28 1/141 1057
  PID  PPID USER     STAT   VSZ %VSZ CPU %CPU COMMAND
  765     1 root     S     277m 55.7   1  0.9 {FusionMain} ./mv_svfusion
  763     1 root     S     211m 42.4   2  0.5 {DecisionMain} ./mv_decision
 1037   749 root     R     1752  0.3   3  0.1 top -b -d 1
  769     1 root     S     263m 52.9   0  0.0 {PlanMain} ./mv_plan
  350     1 root     S     224m 45.0   0  0.0 /mnt/mvapp/bin/iox-roudi -m off -l debug -c /mnt/mvapp/conf/iceoryx/large_config.toml
 1038   745 root     S     204m 41.0   2  0.0 ./rec -p ../data/bag
  372   287 root     S     5932  1.1   0  0.0 sshd: root@notty
  743   287 root     S     5632  1.1   1  0.0 sshd: root@pts/2
  747   287 root     S     5632  1.1   0  0.0 sshd: root@pts/3
 1047   287 root     S     5632  1.1   1  0.0 sshd: root@pts/4
  731   287 root     S     5632  1.1   3  0.0 sshd: root@notty
  734   287 root     S     5632  1.1   1  0.0 sshd: root@notty
  287     1 root     S     5632  1.1   2  0.0 sshd: /usr/sbin/sshd [listener] 0 of 10-100 startups
  374   372 root     S     5172  1.0   0  0.0 /usr/bin/sftp-server
  733   731 root     S     4992  0.9   3  0.0 /usr/bin/sftp-server
  736   734 root     S     4992  0.9   2  0.0 /usr/bin/sftp-server
  279     1 root     S     4008  0.7   2  0.0 /usr/sbin/telnetd -F
    1     0 root     S     1752  0.3   0  0.0 {linuxrc} init
  258     1 root     S     1752  0.3   1  0.0 ifplugd -i eth0 -n -s -f -I -q -p -d0
  275     1 root     S     1752  0.3   2  0.0 crond
 1051  1049 root     S     1752  0.3   3  0.0 top
  213     1 root     S     1752  0.3   2  0.0 /sbin/syslogd -n -s 5120 -b 99 -S
  394   279 root     S     1752  0.3   1  0.0 -sh
  749   747 root     S     1752  0.3   1  0.0 -sh
  745   743 root     S     1752  0.3   2  0.0 -sh
  217     1 root     S     1752  0.3   2  0.0 /sbin/klogd -n
  208     1 root     S     1752  0.3   0  0.0 -/bin/sh
 1049  1047 root     S     1752  0.3   2  0.0 -sh
  225     1 root     S      812  0.1   2  0.0 /sbin/axklogd -n
   61     2 root     SW       0  0.0   2  0.0 [spi4]
   89     2 root     SW       0  0.0   3  0.0 [ubi_bgt0d]
  982     2 root     IW       0  0.0   3  0.0 [kworker/u8:0-ev]
 1001     2 root     IW       0  0.0   1  0.0 [kworker/u8:1-ev]
   32     2 root     IW       0  0.0   0  0.0 [kworker/0:1-eve]
  920     2 root     IW       0  0.0   3  0.0 [kworker/3:2-eve]
   10     2 root     IW       0  0.0   2  0.0 [rcu_preempt]
  108     2 root     IW       0  0.0   2  0.0 [kworker/2:1-mm_]
  113     2 root     IW       0  0.0   1  0.0 [kworker/1:1-mm_]
 1055     2 root     IW       0  0.0   2  0.0 [kworker/u8:3-ev]
  322     2 root     SW       0  0.0   1  0.0 [ubi_bgt1d]
  345     2 root     SW       0  0.0   3  0.0 [ubifs_bgt4_0]
  118     2 root     DW       0  0.0   0  0.0 [npu_utilization]
    9     2 root     SW       0  0.0   0  0.0 [ksoftirqd/0]
  342     2 root     SW       0  0.0   3  0.0 [ubi_bgt4d]
  248     2 root     SW       0  0.0   0  0.0 [draw-worker]
   68     2 root     DW       0  0.0   2  0.0 [kthread-thm]
 1022     2 root     IW       0  0.0   2  0.0 [kworker/u8:2-ev]
   90     2 root     SW       0  0.0   3  0.0 [ubifs_bgt0_0]
  335     2 root     SW       0  0.0   3  0.0 [ubi_bgt3d]
  328     2 root     SW       0  0.0   2  0.0 [ubi_bgt2d]
    2     0 root     SW       0  0.0   1  0.0 [kthreadd]
   17     2 root     SW       0  0.0   1  0.0 [ksoftirqd/1]
   27     2 root     SW       0  0.0   3  0.0 [ksoftirqd/3]
   30     2 root     SW       0  0.0   1  0.0 [kdevtmpfs]
   33     2 root     SW       0  0.0   1  0.0 [khungtaskd]
    3     2 root     IW<      0  0.0   0  0.0 [rcu_gp]
    4     2 root     IW<      0  0.0   0  0.0 [rcu_par_gp]
    5     2 root     IW       0  0.0   0  0.0 [kworker/0:0-rcu]
    6     2 root     IW<      0  0.0   0  0.0 [kworker/0:0H-kb]
    8     2 root     IW<      0  0.0   0  0.0 [mm_percpu_wq]
   11     2 root     IW       0  0.0   2  0.0 [rcu_sched]
   12     2 root     IW       0  0.0   0  0.0 [rcu_bh]
   13     2 root     SW       0  0.0   0  0.0 [migration/0]
   14     2 root     SW       0  0.0   0  0.0 [cpuhp/0]
   15     2 root     SW       0  0.0   1  0.0 [cpuhp/1]
   16     2 root     SW       0  0.0   1  0.0 [migration/1]
   18     2 root     IW       0  0.0   1  0.0 [kworker/1:0-eve]
   19     2 root     IW<      0  0.0   1  0.0 [kworker/1:0H]
   20     2 root     SW       0  0.0   2  0.0 [cpuhp/2]
   21     2 root     SW       0  0.0   2  0.0 [migration/2]
   22     2 root     SW       0  0.0   2  0.0 [ksoftirqd/2]
   23     2 root     IW       0  0.0   2  0.0 [kworker/2:0-eve]
   24     2 root     IW<      0  0.0   2  0.0 [kworker/2:0H]
   25     2 root     SW       0  0.0   3  0.0 [cpuhp/3]
   26     2 root     SW       0  0.0   3  0.0 [migration/3]
   29     2 root     IW<      0  0.0   3  0.0 [kworker/3:0H]
   31     2 root     SW       0  0.0   1  0.0 [rcu_tasks_kthre]
   34     2 root     SW       0  0.0   1  0.0 [oom_reaper]
